Pantun,Pemantun,Himpunan,Tema,Jenis,Markah
"Musim begini bermonsoon kuat,
jagalah genting jangan merekah;
Solat yang ini banyak rakaat,
ibadah penting bulan barakah.",CG Karmin Abbas,Pantun Teka-Teki Puasa dan Hari Raya,Teka-Teki Puasa dan Hari Raya,Teka-Teki,25
"Sungai melebar di tanah rendah,
indah terasa jika dipandang.
Jikalau sabar ganjaran indah,
buka puasa makan berhidang.",CG Karmin Abbas,Pantun Teka-Teki Puasa dan Hari Raya,Teka-Teki Puasa dan Hari Raya,Teka-Teki,25
"Tinggi kumbuh di tepi bendang,
satu desa berkala-kala;
Di waktu subuh azan kumandang,
tanda puasa sudah bermula.",CG Karmin Abbas,Pantun Teka-Teki Puasa dan Hari Raya,Teka-Teki Puasa dan Hari Raya,Teka-Teki,25
"Merembih-rembih hujan di jalan,
berbalam-balam di tepi paya;
Malamnya lebih seribu bulan,
suatu malam amat bercahaya.",CG Karmin Abbas,Pantun Teka-Teki Puasa dan Hari Raya,Teka-Teki Puasa dan Hari Raya,Teka-Teki,25
"menumbuk herba hiriskan pandan,
herba ditani luas kebunnya;
Sudahpun tiba Bulan Ramadan,
Ibadah ini wajib hukumnya.",CG Karmin Abbas,Pantun Teka-Teki Puasa dan Hari Raya,Teka-Teki Puasa dan Hari Raya,Teka-Teki,25
"Gorenglah bawal bergulai nangka,
singgang papaya bukan sembarang;
Di bulan Syawal ingat mereka,
semoga raya disambut girang.",CG Karmin Abbas,Pantun Teka-Teki Puasa dan hari Raya,Teka-Teki Puasa dan hari Raya,Teka-Teki,25
"Membeli turi barang seikat,
sudah dipepat berkerat-kerat.
Bersungguh cari malam nan berkat,
Agar mendapat nikmat akhirat.",CG Karmin Abbas,Pantun Teka-Teki Puasa dan Hari Raya,Teka-Teki Puasa dan Hari Raya,Teka-Teki,25
"Malam sunyi masih memajang,
nampak indah tangga berandah;
Zikir berbunyi sujud pun panjang.
atas sejadah mengadu gundah.",CG Karmin Abbas,Pantun Teka-Teki Puasa dan Hari Raya,Teka-Teki Puasa dan Hari Raya,Teka-Teki,25
"Kumpul berumpun serai di sampan, 
dibuat bumbu majlis kenduri.
Mohonlah ampun usah disimpan,
nyalakan sumbu di Aidil Fitri?",CG Karmin Abbas,Pantun Teka-Teki Puasa dan Hari Raya,Teka-Teki Puasa dan Hari Raya,Teka-Teki,25
"Hujung Ramadan sudah menjelang,
lampu digaya ketika malam;
Dondon sepadan gilang-gemilang,
di pagi raya tidaklah kelam.",CG Karmin Abbas,Pantun Teka-Teki Puasa dan Hari Raya,Teka-Teki Puasa dan Hari Raya,Teka-Teki,25
"Janur kelapa basah kuyup,
tepi paya orang meniti;
Takbir sapa terasa sayup,
hari raya memujuk hati.",CG Karmin Abbas,Pantun Teka-Teki Puasa dan Hari Raya,Teka-Teki Puasa dan Hari Raya,Teka-Teki,25
"Burung ini burung terkukur,
pasang pikat di pohon pinang.
Solat ini tanda bersyukur,
Amalan sunat penuh tenang.",CG Karmin Abbas,Pantun Teka-Teki Puasa dan Hari Raya,Teka-Teki Puasa dan Hari Raya,Teka-Teki,25
"Kuih dan muih terhidang rapi,
Ketupat Umi tidaklah pepas;
Lidah terjuih selera berapi,
silatur rahmi pun dikipas-kipas.",CG Karmin Abbas,Pantun Teka-Teki Puasa dan Hari Raya,Teka-Teki Puasa dan Hari Raya,Teka-Teki,25
"Sudahlah pulang anak perantau,
disambut mesra hilanglah lara;
Tidak berwalang bagai disantau,
rasa gembira sanak-saudara.",CG Karmin Abbas,Pantun Teka-Teki Puasa dan Hari Raya,Teka-Teki Puasa dan Hari Raya,Teka-Teki,25
"Syawal bulan penuh bermakna,
syukur pada Tuhan yang Esa;
Lafaz taulan jika dicerna,
rendah nada tidak dipaksa?",CG Karmin Abbas,Pantun Teka-Teki Puasa dan Hari Raya,Teka-Teki Puasa dan Hari Raya,Teka-Teki,25
"Bajunya baru cantik berseri,
sedondon pula segak bergaya.
Bertudung biru bagai puteri,
adab tak cela jaga budaya?",CG Karmin Abbas,Pantun Teka-Teki Puasa dan Hari Raya,Teka-Teki Puasa dan Hari Raya,Teka-Teki,25
"Beli di pekan berbalang-balang,
nenasnya ada pengenyah loya;  
Sedapnya bukan alang-kepalang,
Kalau tiada bukanlah raya?",CG Karmin Abbas,Pantun Teka-Teki Puasa dan Hari Raya,Teka-Teki Puasa dan Hari Raya,Teka-Teki,25
"Serunding kelapa lontong terpandang,
nampak berselera menu pusaka;
Makanan apa jika dihidang,
buluh berbara kenalah buka.",CG Karmin Abbas,Pantun Teka-Teki Puasa dan Hari Raya,Teka-Teki Puasa dan Hari Raya,Teka-Teki,25
"Raya tiba menggamit memori,
Sampul nan cerah sudah diduga;
meraba-raba ligat jari,
hijau, merah ataupun jingga.",CG Karmin Abbas,Pantun Teka-Teki Puasa dan Hari Raya,Teka-Teki Puasa dan Hari Raya,Teka-Teki,25
"Rumah terbuka ramai berkumpul,
masuk keluar silih berganti;
Teramat suka mendapat sampul,
tamu di luar sabar menanti.",CG Karmin Abbas,Pantun Teka-Teki Puasa dan Hari Raya,Teka-Teki Puasa dan Hari Raya,Teka-Teki,25
"Syawal tiba lebarlah senyuman,
takbir dilafaz menyentuh jiwa;
Bagaikan hamba orang beriman,
mengatur lafaz tanda bertakwa ,
",CG Karmin Abbas,Pantun Teka-Teki Puasa dan Hari Raya,Teka-Teki Puasa dan Hari Raya,Teka-Teki,25
"Pepohon melati di dusun Mak Yong,
Mekarnya bersama sang bunga raya;
Perintah bupati bergotong-royong,
Bekerja bersama membawa jaya.",Awang Abdul Muizz bin Awang Marusin,Himpunan Sepanggar Berpantun,,,25
"Indah ditata pokok selasih,
Karya kawula sang adipati;
Lidah berkata terima kasih,
Atas segala budi dan bakti.",Awang Abdul Muizz bin Awang Marusin,Himpunan Sepanggar Berpantun,,,25
"Sawit bertandan jatuh ke tanah;
Isinya baik, petiknya senang;
Hancurnya badan dikandung tanah,
Budi yang baik tetap dikenang.",Awang Abdul Muizz bin Awang Marusin,Himpunan Sepanggar Berpantun,,,25
"Kucing Anggora punya Pak Amat,
Warna putih berbulu lebat,
Bergegas segera di hari Jumat,
Iman terlatih jangan terlambat.",Agusnadi Talah,Pantun Harian Dr. Agusnadi Talah,Agama,Nasihat,23
"Dengan rakan bersimpuh rapat,
sehari suntuk gilap gangsa;
Hayba bukan sebarang tempat,
tempat untuk bangunkan bangsa",Salehin Bin Deros,Penggemar Pantun,Semangat,Ucapan,25
"Apa di-tutop di-dalam kuali
Arang bara dalam kranjang
Hidop kita chuma sekali
Orang muda hari-nya panjiang",Peranakan,Panton Peranakan,Panton Permolaan 20 Hingga 50,Peranakan,16
"Susunlah guni serapat-rapat,
dituas-tuas berbaris rata;
Kalau tekuni semua pendapat,
semakin luas pandangan kita ",CG Karmin Abbas ,Himpunan Pantun CG Karmin ,Pendapat,Motivasi,25
"Buah belingai dari manila
Kulit terchampak di-dalam paya
Sampai pandai ku-gesek biola
Kerana sayang kepada dia.",Peranakan,Panton Peranakan,Panton PErmolaan,Peranakan,21
"Tuang sharbat kain pon basah
Prah mari alas-alas-nya
Tuan buat hati-ku susah
Kemdian hari Allah balas-nya.",Peranakan,Panton Peranakan,Panton Permolaan 15 & 16,Peranakan,19
"Melor wangi di-atas peti
Chempa berdahan di-julai tinggi
Ku-tarek nyanyi hibor-kan hati
It upon tiada tertahan lagi.",Peranakan,Panton Peranakan,Panton PErmolaan,Peranakan,21
"Apa di-tutop di-dalam kuali
Arang bara dalam kranjang
Hidop kita chuma sekali
Orang muda hari-nya panjiang",Peranakan,Panton Peranakan,Panton Permulaan,Peranakan,16
"Adek kakak sahabat handai
Mari balek ketempat-nya
Apa bijak apa pandai
Diri-nya baik itu guna-nya.",Peranakan,Panton Peranakan,Panton Permolaan 20 Hingga 50,Peranakan,18
"Layang-layang di-hutan pandan
Buah remia di-dalam raga
Sayang-sayang tuboh dan badan
Satu dunia bukan-nya harga.",Peranakan,Panton Peranakan,Panton Permolaan 20 Hingga 50,Peranakan,23
"Kriang acheh dari sebrang
Ambil di-bawak berkarong-karong
Handak menangis tiada orang
Kalau nak-gila ada sekarang",Peranakan,Panton Peranakan,Panton Permolaan 20 Hingga 50,Peranakan,16
"Batu firus mari di-selang
Bangkit bersri wajah gemilang
Biar kuros nampak-nya tulang
Atoran bistari jangan-lah hilang.",Peranakan,Panton Peranakan,Panton Permolaan 20 Hingga 50,Peranakan,22
"Orang kampong orang temenggong
Potong kerbau tembon-tembon
Suka di-junjong susah di-tanggong
Sebagi kemarau di-timpa embon.",Peranakan,Panton Peranakan,Panton Permolaan 20 Hingga 50,Peranakan,18
"Papan jati di-pukol arus
Anak raja turon menjala
Susah hati badan pon kurus
Kalau tak-jaga manjadi gila.",Peranakan,Panton Peranakan,Panton Permolaan 20 Hingga 50,Peranakan,23
"Ambil arang di-gosok-kan lidah
Ayer mata belinang-linang
Jadi orang bukan-nya mudah
Terlebeh susah dari-pada senang.",Peranakan,Panton Peranakan,Panton Permolaan 20 Hingga 50,Peranakan,22
"Chuka datang dari-nya hulu
Teban nipah pagar-pagar-kan
Sedang suka berhanti dahulu
Bila susah sabar-sabar-kan",Peranakan,Panton Peranakan,Panton Permolaan 20 Hingga 50,Peranakan,22
"Buah kranji beraga-raga
Hingggot lagi jangan di-reban-kan
Sunggoh janji tak-usah di-jaga
Laut jangan tuan terjon-kan",Peranakan,Panton Peranakan,Panton Permolaan 20 Hingga 50,Peranakan,22
"Pechah layer ribot berpalu
Terbang pipit masok di-kota
Biar kita jaga dahulu
Mahu terkena nasib kita.",Peranakan,Panton Peranakan,Panton Permolaan 20 Hingga 50,Peranakan,23
"Gadongan di-atas batu
Mari di-tampi buang abu-nya
Jangan jadi seperti kekatu
Kedalam api serbu diri-nya.",Peranakan,Panton Peranakan,Panton Permolaan 20 Hingga 50,Peranakan,19
"Ayer gula lupa di-tudong
Selimut dengan kain gebar
Dengar suara badan terlindong
Rasa tak-buleh di-tahan sabar.",Peranakan,Panton Peranakan,Panton Permolaan 20 Hingga 50,Peranakan,23
"Bungah pandan betara indra
Bawak abang kedeli medan
Badan terlindong dengar suara
Rasa terhubong nyawa di-badan.",Peranakan,Panton Peranakan,Panton Permolaan 20 Hingga 50,Peranakan,23
"Ulu kapak mari di-chakok
Serepeh melayang kadalam prahu
Ibu bapa ajar tak-chukop
Kaseh saying buleh-lah tahu.",Peranakan,Panton Peranakan,Panton Permolaan 20 Hingga 50,Peranakan,20
"Batu firus mari di-selang
Bangkit bersri wajah gemilang
Biar kuros nampak-nya tulang
Atoran bistari jangan-lah hilang.",Peranakan,Panton Peranakan,Panton Permulaan,Peranakan,22
"Orang kampong orang temenggong
Potong kerbau tembon-tembon
Suka di-junjong susah di-tanggong
Sebagi kemarau di-timpa embon.",Peranakan,Panton Peranakan,Panton Permulaan,Peranakan,18
"Papan jati di-pukol arus
Anak raja turon menjala
Susah hati badan pon kurus
Kalau tak-jaga manjadi gila.",Peranakan,Panton Peranakan,Panton Permulaan,Peranakan,23
"Ambil arang di-gosok-kan lidah
Ayer mata belinang-linang
Jadi orang bukan-nya mudah
Terlebeh susah dari-pada senang.",Peranakan,Panton Peranakan,Panton Permulaan,Peranakan,22
"Chuka datang dari-nya hulu
Teban nipah pagar-pagar-kan
Sedang suka berhanti dahulu
Bila susah sabar-sabar-kan",Peranakan,Panton Peranakan,Panton Permulaan,Peranakan,22
"Kriang acheh dari sebrang
Ambil di-bawak berkarong-karong
Handak menangis tiada orang
Kalau nak-gila ada sekarang",Peranakan,Panton Peranakan,Panton Permulaan,Peranakan,0
"Buah kranji beraga-raga
Hingggot lagi jangan di-reban-kan
Sunggoh janji tak-usah di-jaga
Laut jangan tuan terjon-kan",Peranakan,Panton Peranakan,Panton Permulaan,Peranakan,22
"Pechah layer ribot berpalu
Terbang pipit masok di-kota
Biar kita jaga dahulu
Mahu terkena nasib kita.",Peranakan,Panton Peranakan,Panton Permulaan,Peranakan,23
"Layang-layang di-hutan pandan
Buah remia di-dalam raga
Sayang-sayang tuboh dan badan
Satu dunia bukan-nya harga.",Peranakan,Panton Peranakan,Panton Permulaan,Peranakan,0
"Adek kakak sahabat handai
Mari balek ketempat-nya
Apa bijak apa pandai
Diri-nya baik itu guna-nya.",Peranakan,Panton Peranakan,Panton Permulaan,Peranakan,0
"Gadongan di-atas batu
Mari di-tampi buang abu-nya
Jangan jadi seperti kekatu
Kedalam api serbu diri-nya.",Peranakan,Panton Peranakan,Panton Permulaan,Peranakan,19
"Ayer gula lupa di-tudong
Selimut dengan kain gebar
Dengar suara badan terlindong
Rasa tak-buleh di-tahan sabar.",Peranakan,Panton Peranakan,Panton Permulaan,Peranakan,23
"Bungah pandan betara indra
Bawak abang kedeli medan
Badan terlindong dengar suara
Rasa terhubong nyawa di-badan.",Peranakan,Panton Peranakan,Panton Permulaan,Peranakan,23
"Ulu kapak mari di-chakok
Serepeh melayang kadalam prahu
Ibu bapa ajar tak-chukop
Kaseh saying buleh-lah tahu.",Peranakan,Panton Peranakan,Panton Permulaan,Peranakan,20
"Selorah dunia mashor artawan
Di-pujee rajah darjat berkilau-an
Nama baik sangat chembu-an
Bersey amat susu Chap Prompuan.",Peranakan,"Panton SUSU ""CHAP PROMPUAN""","SUSU ""CHAP PROMPUAN""",Peranakan,20
"Menyaga besar susu haiwan
Srata ada agent stiawan
Laku tiadak dapat di-lawan
Nama ter-angkat susu Chap Prompuan.",Peranakan,"Panton SUSU ""CHAP PROMPUAN""","SUSU ""CHAP PROMPUAN""",Peranakan,20
"Jika orang sakit lepu-an
Dapat minoom barang sa-chawan
Naschaya segar angota lesuan
Krana kuat susu Chap Prompuan.",Peranakan,"Panton SUSU ""CHAP PROMPUAN""","SUSU ""CHAP PROMPUAN""",Peranakan,20
"Bebrapa bomo pangkat yang nombor-one
Puji baik dengan akuan
Orang sakit sbarang kelakuan
Buleh minoom susu Chap Prompuan.",Peranakan,"Panton SUSU ""CHAP PROMPUAN""","SUSU ""CHAP PROMPUAN""",Peranakan,20
"Bukan sahaja barang jamuan
Banyak lagi ya-ampunya lawan
Bebrapa kanak-kanak yang pia-tuan
Di-plehira dengan susu Chap Prompuan.",Peranakan,"Panton SUSU ""CHAP PROMPUAN""","SUSU ""CHAP PROMPUAN""",Peranakan,21
"Fa-idah nya bukan tiadak ketentu-an
Bagi sekelian wajah bangsawan
Jika buat barang jamuan
Mahu-lah champor susu Chap Prompuan.",Peranakan,"Panton SUSU ""CHAP PROMPUAN""","SUSU ""CHAP PROMPUAN""",Peranakan,16
"Di-mak-lom dengan spenoh khal-buan
Kepada sekelian inchek tuan-tuan
Suatu kesah di-bri ketahu-wan
Fasal fa-idah susu Chap Prompuan.",Peranakan,"Panton SUSU ""CHAP PROMPUAN""","SUSU ""CHAP PROMPUAN""",Peranakan,16
"Susu deri pada benatang haiwan
Di-negri-negri tempat tentu-an
Telah mashor di-bawa awan
Nama besar susu Chap Prompuan.",Peranakan,"Panton SUSU ""CHAP PROMPUAN""","SUSU ""CHAP PROMPUAN""",Peranakan,21
"Gadongan di-atas batu
Mari di-tampi buang abu-nya
Jangan jadi seperti kekatu
Kedalam api serbu diri-nya.",Peranakan,Panton Peranakan,Panton PErmolaan,Peranakan,19
"Ayer gula lupa di-tudong
Selimut dengan kain gebar
Dengar suara badan terlindong
Rasa tak-buleh di-tahan sabar.",Peranakan,Panton Peranakan,Panton PErmolaan,Peranakan,23
"Bungah pandan betara indra
Bawak abang kedeli medan
Badan terlindong dengar suara
Rasa terhubong nyawa di-badan.",Peranakan,Panton Peranakan,Panton PErmolaan,Peranakan,23
"Ulu kapak mari di-chakok
Serepeh melayang kadalam prahu
Ibu bapa ajar tak-chukop
Kaseh saying buleh-lah tahu.",Peranakan,Panton Peranakan,Panton PErmolaan,Peranakan,20
"Ada kenal inchek Mustafa
Balek sana kampong chempa
Chantek perangai elok rupa
Dalam srubu satu tak-jumpa.",Peranakan,Panton Peranakan,Panton PErmolaan,Peranakan,16
"Bila kesbrang hujan pon rintek
Rintek habis basah bomi-nya
Bukan chantek sebarang chantek
Chantek dengan budi bahas-nya.",Peranakan,Panton Peranakan,Panton PErmolaan,Peranakan,23
"Singgah di-pantai menyampak jala
Dapat ikan satu prahu
Jangan fakir sahya-ni gila
Sapa terdapat dia-lah tahu.",Peranakan,Panton Peranakan,Panton Permolaan 18 & 19,Peranakan,18
"Datok raja rebah tergolek
Dalam istana bagi nak-gila
Dudok sahja tiada bersolek
Sabagai bunga bahru mala.",Peranakan,Panton Peranakan,Panton Permolaan 18 & 19,Peranakan,22
"Ayer hining di-gunong batak
Mengalir sampai kesungei serdang
Puteh kuning hidong serdang
Tiada jemu mata memandang.",Peranakan,Panton Peranakan,Panton Permolaan 18 & 19,Peranakan,17
"Bara api di-dalam pua 
Kemiyan ada di-dalam chelpa
Buah hati jantong ku tuan
Ingat-lah tuan jangan-lah lupa.",Peranakan,Panton Peranakan,Panton Permolaan 18 & 19,Peranakan,19
"Kerumah guru chri Tok Imam
Hari raya ketika-nya baik
Datang rindu demam tak-demam
Serkaya di-makan rasa-nya pahit.",Peranakan,Panton Peranakan,Panton Permolaan 15 & 16,Peranakan,19
"Daun kadok lebat dahan-nya
Kekampong china beli delapa
Di-mana dudok lekat bahu-nya
Hati mana buleh nak-lupa.",Peranakan,Panton Peranakan,Panton Permolaan 18 & 19,Peranakan,23
"Jangan hingar tempat yang sunyi
Biar berjalan terpedap-pedap
Tak-usah di-lomor ayer wangi
Memang badan berbahu sedap.",Peranakan,Panton Peranakan,Panton Permolaan 18 & 19,Peranakan,19
"Bawak kuli dari kulim
Masok di-kebon buat kerja
Kulit halus seperti lilin
Di-situ tempat hati-ku manja.",Peranakan,Panton Peranakan,Panton Permolaan 18 & 19,Peranakan,16
"Betek manis telok kepayang
Makan isi buang biji-nya
Chantek manis siapa tak-sayang
Sayang badan dengan chuchi-nya.",Peranakan,Panton Peranakan,Panton Permolaan 18 & 19,Peranakan,23
"Naik kerita sambil menyambil
Kuda jangan tuan sesah-kan
Harta-ku ada baik di-ambil
Hati-ku jangan tuan susah-kan",Peranakan,Panton Peranakan,Panton Permolaan 15 & 16,Peranakan,23
"Buah mamplam di-pukol angina
Beli rebong barang sebuku
Rindu dendam bukan-nya main
Kalau burong terbang-lah aku.",Peranakan,Panton Peranakan,Panton Permolaan 15 & 16,Peranakan,20
"Pergi di-tasek memanching haruan
Champak jala kepala titi
Bila ashek teringat-kan tuan
Gesek biola hibor-kan hati.",Peranakan,Panton Peranakan,Panton Permolaan 15 & 16,Peranakan,23
"Naga balon naga gentara
Naga umbang diam di-tasek
Bertemu tahon belom ketara
Rasa bimban di-dalam ashek.",Peranakan,Panton Peranakan,Panton Permolaan 15 & 16,Peranakan,20
"Sudah bersintok lalu berjahat
Kain di pakai bertepi mas
Gila mabok apa-nya ubat
Makin di-fikir bertambah lemas.",Peranakan,Panton Peranakan,Panton Permolaan 15 & 16,Peranakan,19
"Lagu habis dapat di-semperna
Chari panton pulak bagi mana
Tambah harti dengan ma'ana
Di-puji orang sini dan sana.",Peranakan,Panton Peranakan,Panton Permolaan 15 & 16,Peranakan,22
"'Masak Asam' Kronchong 'Meritzkey'
Panghabisan suka muda laki-laki
Sudah pandai mahu-lah kraki
Jangan mabok brandy whishky.",Peranakan,Peranakan,Panton Permolaan 12,Peranakan,13
"'Ala Al-Lala' di-panggil tuan
Akan bermain lagu bangsawan
Habis berkenan jantan prompuan
Seba melihat rupa kelakuan",Peranakan,Peranakan,Panton Permolaan 12,Peranakan,20
"Satu lagi Kronchong 'Pandan'
Ambil tuan nama yang dan
Kalau nak-senang tuboh badan
Bertemu jugak di-tengah maidan.",Peranakan,Peranakan,Panton Permolaan 12,Peranakan,18
"Chuba gesek 'Gunong Sari'
Tiada dapat mahu di-chari
Belajar tuan jangan lari
Nanti terpuji kemdian hari.",Peranakan,Peranakan,Panton Permolaan 12,Peranakan,0
"Demkian kronchong nyanyi melayu
Peylet jaw yang paling sayu
Bila di-angkat berdayu-dayu
Bunga kembang habis-nya layu.",Peranakan,Panton Peranakan,Panton Permolaan 15,Peranakan,18
"Ini bahsa melayu islam
Chakapan terang bukan dalam
Kata hari-hari siang dan malam
Supaya tuan-tuan lekas tersulam.",Peranakan,Panton Peranakan,Panton Permolaan 15,Peranakan,22
"Apa kahendak baik berguru
Lekas kenal chandana gahru
Tiada book di-tiru-nya tiru
Tengah majlis tak-brani buru.",Peranakan,Panton Peranakan,Panton Permolaan 15,Peranakan,21
"Orang puteh payah-nya pula
Akan tetapi masok-nya sehola
Chakap pandai tiada berchela
Bratus ratus gaji di-hela.",Peranakan,Panton Peranakan,Panton Permolaan 15,Peranakan,21
"Beli angkat jangan-kan rugi
Kamdian hari untong terbahgi
Bahsa melay dapat-nya lagi
Buleh bertutor petang dan pagi.",Peranakan,Panton Peranakan,Panton Permolaan 13,Peranakan,21
"Chakap melay bukan-nya mudah
Bacha book Lembot lidah
Senang di-sebot tinggi dan rendah
Bahru dapat dia punya faedah.",Peranakan,Panton Peranakan,Panton Permolaan 13,Peranakan,17
"Jika begitu jangan-lah susah
Apa yang salah apa yang sah
Beli book tentu-lah kesah
Baharu-lah buleh manjadi usah.",Peranakan,Panton Peranakan,Panton Permolaan 13,Peranakan,18
"Anam belas lagu tak-korang
Siapa beruntong dapat sekarang
Seperti pangkat panglima prang
Dalam majlis di-kaseh orang.",Peranakan,Panton Peranakan,Panton Permolaan 13,Peranakan,20
"'Ala Al-Lala' di-panggil tuan
Akan bermain lagu bangsawan
Habis berkenan jantan prompuan
Seba melihat rupa kelakuan",Peranakan,Pantun Peranakan,Panton Permulaan 12,Peranakan,20
"Chuba gesek 'Gunong Sari'
Tiada dapat mahu di-chari
Belajar tuan jangan lari
Nanti terpuji kemdian hari.",Peranakan,Pantun Peranakan,Panton Permulaan 12,Peranakan,0
"Inkronchong 'Pulau Jawa'
Paling bangus timbangan jiwa
Dalam majlis banyak-nya lawa
Mana dengar senyum tertawa.",Peranakan,Peranakan,Panton Permulaan 10,Peranakan,17
"Ambil jugak 'Bintang Soerabaya'
Seberapa buleh dengan rupaya
Krana dia pon satu chahya
Kepada yang senang suka daya.",Peranakan,Peranakan,Panton Permulaan 10,Peranakan,21
"'Weltevreden' Kronchong nama-nya
Jaka tuan-tuan dapat dia-nya
Besar guna lagu semua-nya
Lagi untong hari belakang-nya.",Peranakan,Peranakan,Panton Permulaan 10,Peranakan,22
"'Dendang Api-Api' sangat sayu
tambah pandai pujok rayu
Bukan chuma serupa kayu
Buleh harti basha belayu.",Peranakan,Peranakan,Panton Permulaan 10,Peranakan,18
"Lima lagu dengan nyanyi-nya
Suara pon sedap tingkah laku-nya
Itu orang jangan di-tanya
Tentu suka baba dan nyonya.",Peranakan,Panton Peranakan,Permolaan 9,Peranakan,22
"Kalau mahu kaseh dan sayang
Ambil Kronchong 'Bayang Siang'
Bahru-lah sedar jiwa melayang
Jatoh di-hati berbayang-bayang.",Peranakan,Panton Peranakan,Permolaan 10,Peranakan,16
"Bayang Siang di-nama mola
Elok atoran tiada berchela
Kepada hati bagi di-sula
Situ-lah tempat manjadi gila.",Peranakan,Panton Peranakan,Permolaan 10,Peranakan,22
"Jangan tua srupa sahya
Banyak angkota tiada bergaya
Sebab pon orang banyak perchaya
Jadi buleh nampak rupaya.",Peranakan,Panton Peranakan,Permolaan 10,Peranakan,18
"Dalam dunia kita sekarang
Sronok ramai jadi-kan orang
Tambah pulak muda yang garang
Semua bagus mata pon terang.",Peranakan,Panton Peranakan,Permolaan 10,Peranakan,21
"Satu lagi Stambol Dua
Suka sangat muda dan tua
Pandai bernyanyi sana tersua
Tuan-lah ganti badan dan jiwa.",Peranakan,Panton Peranakan,Permolaan 9,Peranakan,16
"Krana muda pandai biola
Ada untong datang beyla
Lagi-lagi jadi gemala
Buleh di-ajar orang segala.",Peranakan,Panton Peranakan,Permolaan 9,Peranakan,18
"Orang itu pengibor-nya hati
Chari tak-depat sampai mati
Chari-lah tuan biar seperti
Kalau tak-dapat jangan berhanti.",Peranakan,Panton Peranakan,Permolaan 9,Peranakan,23
"Apa pulak handak di-chari
Kronchong Singapora nama bistari
Lain-lain negri bawak kemari
Tidak jemu sahari-hari.",Peranakan,Panton Peranakan,Permolaan 8,Peranakan,21
"Pandai bermain manjadi guna
Di-bawak kawan kesini sana
Satu jua orang bernama
Krana menyuka jantan betina.",Peranakan,Panton Peranakan,Permolaan 8,Peranakan,20
"Tambah anak muda skarang
Akal anjang hati terang
Sedikit panton banyak di-karang
Hengga jadi di-berkenan orang.",Peranakan,Panton Peranakan,Permolaan 8,Peranakan,18
"Satu lagi jadi-nay ampat
Sri Pulau Manis chuba dapat
Biar jaoh dia punya tempat
Kalau de-dengar datang melompat.",Peranakan,Panton Peranakan,Permolaan 8,Peranakan,23
"Jangan main kena-nya lagu
Bila kena hati belanggu
Kerap-kerap kawan menunggu
Kaseh sayang tiada-nya ganggu.",Peranakan,Panton Peranakan,Permolaan 7,Peranakan,22
"Dapat pulak Krongchong Klombia
Di bawak pellet lagu soerabaya
Siapa-siapa dengar-kan dia
Tulang sendi tiada bergaya.",Peranakan,Panton Peranakan,Permolaan 7,Peranakan,21
"Holanda perkata-an jawa
Manis srupa pulot serawa
Mampuas hati nafsu dan hawa
Di-situ-lah tempat habis-kan jiwa.",Peranakan,Panton Peranakan,Permolaan 7,Peranakan,22
